,Link,Brand,Model,Laptop Series,Part No,Processor Brand,Processor Model,Processor Core,RAM,RAM Type,Installed SSD Type,Graphics Chipset,Graphics Memory Accessibility,Graphics Memory,Display Size (Inch),Display Type,Display Resolution,Touch Screen,HDMI Port,LAN,Finger Print Sensor,Operating System,Color,Weight (Kg),Power Adapter,Warranty,Country Of Origin
456,https://www.ryans.com/msi-modern-15-b12mo-intel-core-i5-1235u-16gb-ram-512gb-ssd-15.6-inch-fhd-ips-60hz-display-star-blue-laptop,MSI,MSI Modern 15 B12MO,Modern,B12MO-688BD-SB51235U16GXXDX11EMH,Intel,Core i5 1235U,10,16GB,DDR4,NVMe PCIe,Intel Iris Xe Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,No,Win-11 Home,Star Blue,1.7,65,2,Taiwan
457,https://www.ryans.com/msi-modern-15-b12mo-intel-core-i5-1235u-16gb-ram-512gb-ssd-15.6-inch-fhd-ips-60hz-display-star-blue-laptop,MSI,MSI Modern 15 B12MO,Modern,B12MO-688BD-SB51235U16GXXDX11EMH,Intel,Core i5 1235U,10,16GB,DDR4,NVMe PCIe,Intel Iris Xe Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,No,Win-11 Home,Star Blue,1.7,65,2,Taiwan
458,https://www.ryans.com/msi-modern-15-b12mo-intel-core-i5-1235u-16gb-ram-512gb-ssd-15.6-inch-fhd-ips-60hz-display-star-blue-laptop,MSI,MSI Modern 15 B12MO,Modern,B12MO-688BD-SB51235U16GXXDX11EMH,Intel,Core i5 1235U,10,16GB,DDR4,NVMe PCIe,Intel Iris Xe Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,No,Win-11 Home,Star Blue,1.7,65,2,Taiwan
459,https://www.ryans.com/dell-vostro-15-3510-11th-gen-intel-core-i5-1135g7-15.6-inch-fhd-display-black-laptop,Dell,Dell Vostro 15 3510,Vostro,Not Found,Intel,Core i5 1135G7,4,8GB,DDR4,NVMe PCIe,Nvidia MX330 Graphics,Dedicated,2GB,15.6,FHD LED Display,1920x1080,No,1,Yes,Yes,Free-Dos,Black,1.69,65,3,USA
460,https://www.ryans.com/dell-vostro-15-3510-11th-gen-intel-core-i5-1135g7-15.6-inch-fhd-display-black-laptop,Dell,Dell Vostro 15 3510,Vostro,Not Found,Intel,Core i5 1135G7,4,8GB,DDR4,NVMe PCIe,Nvidia MX330 Graphics,Dedicated,2GB,15.6,FHD LED Display,1920x1080,No,1,Yes,Yes,Free-Dos,Black,1.69,65,3,USA
461,https://www.ryans.com/dell-vostro-15-3510-11th-gen-intel-core-i5-1135g7-15.6-inch-fhd-display-black-laptop,Dell,Dell Vostro 15 3510,Vostro,Not Found,Intel,Core i5 1135G7,4,8GB,DDR4,NVMe PCIe,Nvidia MX330 Graphics,Dedicated,2GB,15.6,FHD LED Display,1920x1080,No,1,Yes,Yes,Free-Dos,Black,1.69,65,3,USA
462,https://www.ryans.com/hp-15-fd0208tu-intel-core-i5-1335u-8gb-ram--512gb-ssd-15.6-inch-fhd-display-silver-laptop,HP,HP 15-fd0208TU,15,Not Found,Intel,Core i5 1335U,10,8GB,DDR4,NVMe PCIe,Intel Iris Xe Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,No,Win-11 Home,Silver,1.59,45,2,USA
463,https://www.ryans.com/hp-15-fd0208tu-intel-core-i5-1335u-8gb-ram--512gb-ssd-15.6-inch-fhd-display-silver-laptop,HP,HP 15-fd0208TU,15,Not Found,Intel,Core i5 1335U,10,8GB,DDR4,NVMe PCIe,Intel Iris Xe Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,No,Win-11 Home,Silver,1.59,45,2,USA
464,https://www.ryans.com/hp-15-fd0208tu-intel-core-i5-1335u-8gb-ram--512gb-ssd-15.6-inch-fhd-display-silver-laptop,HP,HP 15-fd0208TU,15,Not Found,Intel,Core i5 1335U,10,8GB,DDR4,NVMe PCIe,Intel Iris Xe Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,No,Win-11 Home,Silver,1.59,45,2,USA
465,https://www.ryans.com/hp-15-fd0210tu-13th-gen-intel-core-i5-1335u-8gb-ram--512gb-ssd-15.6-inch-fhd-display-diamond-white-laptop,HP,HP 15-fd0210TU,15,973R5PA,Intel,Core i5 1335U,10,8GB,DDR4,NVMe PCIe,Intel Iris Xe Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,No,Win-11 Home,Diamond White,1.59,45,2,USA
